gene_symbol,ensembl_id,editor_system,sample,cell_line,condition,edited,raw_count,genome_build,source_file
NPAP1,ENSG00000166922,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,118,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,1693,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,3159,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,1376,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,1131,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,2126,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,1316,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,1647,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,2729,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
UBE3A,ENSG00000114062,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,1361,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,PWS_Tet1_NT_rep1,PWS,non_targeting,False,147,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,WT_Tet1_NT_rep1,WT,non_targeting,False,237,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,PWS_Tet1_mat3_rep1,PWS,maternal_reactivation_guide,True,146,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,PWS_Tet1_mat3_rep2,PWS,maternal_reactivation_guide,True,117,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,WT_Tet1_NT_rep3,WT,non_targeting,False,195,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,PWS_Tet1_NT_rep3,PWS,non_targeting,False,106,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,PWS_Tet1_mat3_rep3,PWS,maternal_reactivation_guide,True,150,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,WT_Tet1_NT_rep2,WT,non_targeting,False,201,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
ATP10A,ENSG00000206190,dCas9-Tet1,PWS_Tet1_NT_rep2,PWS,non_targeting,False,124,hg19,GSE243185_Tet1v4-featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,WT_VP64_nt_r1,WT,non_targeting,False,199,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,WT_VP64_nt_r2,WT,non_targeting,False,212,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,WT_VP64_nt_r3,WT,non_targeting,False,197,hg19,GSE243185_VP64_featurecounts.csv.gz
SNRPN,ENSG00000128739,dCas9-VP64,PWS_VP64_mat1_r1,PWS,maternal_reactivation_guide,True,572,hg19,GSE243185_VP64_featurecounts.csv.gz
